カテゴリ	ファイル	日本語文言	想定翻訳キー	優先度
JS	Controllers/AddressBookController.php:881	if (preg_match('/(?:FAX|Fax|fax|ファックス|ファクス)[\s:：]*([0-9\-（）().\s]{8,20})/', $text, $m)) {	js.addressbookcontroller.l881	P3
JS	Controllers/AddressBookController.php:884	if (preg_match('/(?:携帯|Mobile|MOBILE|Cell|cell)[\s:：]*([0-9\-（）().\s]{8,20})/', $text, $m)) {	js.addressbookcontroller.l884	P3
JS	Controllers/AddressBookController.php:896	if (preg_match('/〒?\s*\d{3}[\-ー]\d{4}\s*(.+?)(?:\n|TEL|Tel|FAX|Fax|電話|$)/s', $text, $m)) {	js.addressbookcontroller.l896	P3
JS	Controllers/AddressBookController.php:898	} elseif (preg_match('/((?:東京|北海道|大阪|京都|神奈川|埼玉|千葉|愛知|福岡|兵庫|静岡|広島|茨城|新潟|宮城|長野|岐阜|群馬|栃木|岡山|三重|熊本|鹿児島|山口|愛媛|長崎|奈良|青森|岩手|秋田|山形|福島|富山|石川|福井|山梨|滋賀|和歌山|鳥取|島根|徳島|香川|高知|佐賀|大分|宮崎|沖縄)(?:都|道|府|県).+?)(?:\n|TEL|Tel|$)/u', $text, $m)) {	js.addressbookcontroller.l898	P3
JS	Controllers/AddressBookController.php:903	$positionKeywords = ['代表取締役', '社長', '副社長', '専務', '常務', '取締役', '部長', '課長', '係長', '主任', 'マネージャー', 'ディレクター', 'CEO', 'CTO', 'CFO', 'COO', 'VP', 'Director', 'Manager', 'President', 'Chairman'];	js.addressbookcontroller.l903	P3
JS	Controllers/AddressBookController.php:904	$deptKeywords = ['事業部', '営業部', '開発部', '企画部', '総務部', '人事部', '経理部', '技術部', '製造部', '品質管理', '研究開発', '部', '課', '室', 'グループ', 'チーム', 'Division', 'Department', 'Dept'];	js.addressbookcontroller.l904	P3
JS	Controllers/AddressBookController.php:926	if (preg_match('/(株式会社|有限会社|合同会社|合資会社|一般社団法人|一般財団法人|NPO法人|LLC|Inc\.|Corp\.|Co\.,?\s*Ltd\.?|Ltd\.?|Corporation)/u', $line)) {	js.addressbookcontroller.l926	P3
JS	Controllers/AddressBookController.php:935	if (preg_match('/^[\p{Katakana}ー\s　]+$/u', $line) && mb_strlen($line) >= 2) {	js.addressbookcontroller.l935	P3
JS	Controllers/AddressBookController.php:952	if (preg_match('/^[\p{Katakana}ー\s　]+$/u', $line) && mb_strlen($line) >= 2) {	js.addressbookcontroller.l952	P3
JS	Models/AutomationJob.php:170	return ['success' => false, 'message' => 'ジョブが見つかりません'];	js.automationjob.l170	P3
JS	Models/AutomationJob.php:173	return ['success' => false, 'message' => '権限がありません'];	js.automationjob.l173	P3
JS	Models/AutomationJob.php:205	return ['success' => false, 'message' => '未対応のジョブタイプです'];	js.automationjob.l205	P3
JS	Models/AutomationJob.php:214	return ['success' => false, 'message' => 'template_id / requester_id が必要です'];	js.automationjob.l214	P3
JS	Models/AutomationJob.php:220	return ['success' => false, 'message' => 'テンプレートが存在しません'];	js.automationjob.l220	P3
JS	Models/AutomationJob.php:224	$titlePrefix = trim((string)($config['title_prefix'] ?? '定期申請'));	js.automationjob.l224	P3
JS	Models/AutomationJob.php:234	return ['success' => false, 'message' => '定期申請の下書き作成に失敗しました'];	js.automationjob.l234	P3
JS	Models/AutomationJob.php:242	'title' => '定期申請の下書きを作成しました',	js.automationjob.l242	P3
JS	Models/AutomationJob.php:249	return ['success' => true, 'message' => '定期申請下書きを作成しました'];	js.automationjob.l249	P3
JS	Models/AutomationJob.php:257	return ['success' => false, 'message' => 'template_id / user_id が必要です'];	js.automationjob.l257	P3
JS	Models/AutomationJob.php:262	return ['success' => false, 'message' => '日報テンプレートが存在しません'];	js.automationjob.l262	P3
JS	Models/AutomationJob.php:272	return ['success' => true, 'message' => '本日の日報が既に存在するためスキップしました'];	js.automationjob.l272	P3
JS	Models/AutomationJob.php:282	return ['success' => false, 'message' => '定期日報の下書き作成に失敗しました'];	js.automationjob.l282	P3
JS	Models/AutomationJob.php:290	'title' => '定期日報の下書きを作成しました',	js.automationjob.l290	P3
JS	Models/AutomationJob.php:297	return ['success' => true, 'message' => '定期日報の下書きを作成しました'];	js.automationjob.l297	P3
JS	Models/AutomationJob.php:315	return ['success' => true, 'message' => '期限リマインド対象はありません'];	js.automationjob.l315	P3
JS	Models/AutomationJob.php:323	'title' => 'タスク期限リマインド',	js.automationjob.l323	P3
JS	Models/AutomationJob.php:324	'content' => $task['title'] . ' の期限は ' . $task['due_date'] . ' です。',	js.automationjob.l324	P3
JS	Models/AutomationJob.php:331	return ['success' => true, 'message' => count($tasks) . ' 件の期限リマインドを送信しました'];	js.automationjob.l331	P3
掲示板	Controllers/BulletinController.php:120	'title' => '掲示板',	bulletin.bulletincontroller.l120	P2
掲示板	Controllers/BulletinController.php:151	$_SESSION['error'] = '投稿が見つかりません。';	bulletin.bulletincontroller.l151	P2
掲示板	Controllers/BulletinController.php:156	$_SESSION['error'] = '閲覧権限がありません。';	bulletin.bulletincontroller.l156	P2
掲示板	Controllers/BulletinController.php:206	'title' => htmlspecialchars($post['title']) . ' - 掲示板',	bulletin.bulletincontroller.l206	P2
掲示板	Controllers/BulletinController.php:225	'title' => '新規投稿 - 掲示板',	bulletin.bulletincontroller.l225	P2
バリデーション	Controllers/BulletinController.php:242	$_SESSION['error'] = '不正なリクエストです。';	validation.bulletincontroller.l242	P1
バリデーション	Controllers/BulletinController.php:254	$_SESSION['error'] = 'タイトルと本文は必須です。';	validation.bulletincontroller.l254	P1
掲示板	Controllers/BulletinController.php:276	$_SESSION['success'] = '投稿を作成しました。';	bulletin.bulletincontroller.l276	P2
掲示板	Controllers/BulletinController.php:293	$_SESSION['error'] = '投稿が見つかりません。';	bulletin.bulletincontroller.l293	P2
掲示板	Controllers/BulletinController.php:298	$_SESSION['error'] = '編集権限がありません。';	bulletin.bulletincontroller.l298	P2
掲示板	Controllers/BulletinController.php:314	'title' => '投稿を編集 - 掲示板',	bulletin.bulletincontroller.l314	P2
掲示板	Controllers/BulletinController.php:335	$_SESSION['error'] = '投稿が見つかりません。';	bulletin.bulletincontroller.l335	P2
掲示板	Controllers/BulletinController.php:340	$_SESSION['error'] = '編集権限がありません。';	bulletin.bulletincontroller.l340	P2
バリデーション	Controllers/BulletinController.php:345	$_SESSION['error'] = '不正なリクエストです。';	validation.bulletincontroller.l345	P1
バリデーション	Controllers/BulletinController.php:357	$_SESSION['error'] = 'タイトルと本文は必須です。';	validation.bulletincontroller.l357	P1
掲示板	Controllers/BulletinController.php:393	$_SESSION['success'] = '投稿を更新しました。';	bulletin.bulletincontroller.l393	P2
掲示板	Controllers/BulletinController.php:406	$_SESSION['error'] = '投稿が見つかりません。';	bulletin.bulletincontroller.l406	P2
掲示板	Controllers/BulletinController.php:411	$_SESSION['error'] = '削除権限がありません。';	bulletin.bulletincontroller.l411	P2
掲示板	Controllers/BulletinController.php:425	$_SESSION['success'] = '投稿を削除しました。';	bulletin.bulletincontroller.l425	P2
掲示板	Controllers/BulletinController.php:435	$_SESSION['error'] = '管理者権限が必要です。';	bulletin.bulletincontroller.l435	P2
掲示板	Controllers/BulletinController.php:449	'title' => 'カテゴリ管理 - 掲示板',	bulletin.bulletincontroller.l449	P2
掲示板	Controllers/BulletinController.php:461	$_SESSION['error'] = '管理者権限が必要です。';	bulletin.bulletincontroller.l461	P2
バリデーション	Controllers/BulletinController.php:470	$_SESSION['error'] = 'カテゴリ名は必須です。';	validation.bulletincontroller.l470	P1
掲示板	Controllers/BulletinController.php:479	$_SESSION['success'] = 'カテゴリを追加しました。';	bulletin.bulletincontroller.l479	P2
掲示板	Controllers/BulletinController.php:489	$this->json(['error' => '管理者権限が必要です。'], 403);	bulletin.bulletincontroller.l489	P2
バリデーション	Controllers/BulletinController.php:498	$_SESSION['error'] = 'カテゴリ名は必須です。';	validation.bulletincontroller.l498	P1
掲示板	Controllers/BulletinController.php:507	$_SESSION['success'] = 'カテゴリを更新しました。';	bulletin.bulletincontroller.l507	P2
掲示板	Controllers/BulletinController.php:517	$_SESSION['error'] = '管理者権限が必要です。';	bulletin.bulletincontroller.l517	P2
掲示板	Controllers/BulletinController.php:526	$_SESSION['success'] = 'カテゴリを削除しました。';	bulletin.bulletincontroller.l526	P2
バリデーション	Controllers/BulletinController.php:539	$_SESSION['error'] = 'コメントを入力してください。';	validation.bulletincontroller.l539	P1
掲示板	Controllers/BulletinController.php:545	$_SESSION['error'] = '投稿が見つかりません。';	bulletin.bulletincontroller.l545	P2
掲示板	Controllers/BulletinController.php:550	$_SESSION['error'] = 'コメント権限がありません。';	bulletin.bulletincontroller.l550	P2
掲示板	Controllers/BulletinController.php:562	$_SESSION['success'] = 'コメントを投稿しました。';	bulletin.bulletincontroller.l562	P2
掲示板	Controllers/BulletinController.php:579	$_SESSION['error'] = 'コメントが見つかりません。';	bulletin.bulletincontroller.l579	P2
掲示板	Controllers/BulletinController.php:584	$_SESSION['error'] = '削除権限がありません。';	bulletin.bulletincontroller.l584	P2
掲示板	Controllers/BulletinController.php:590	$_SESSION['success'] = 'コメントを削除しました。';	bulletin.bulletincontroller.l590	P2
掲示板	Controllers/BulletinController.php:650	'title' => '掲示板に新しい投稿があります',	bulletin.bulletincontroller.l650	P2
掲示板	Controllers/BulletinController.php:651	'content' => ($actor['display_name'] ?? 'ユーザー') . ' さんが「' . $title . '」を投稿しました。',	bulletin.bulletincontroller.l651	P2
掲示板	Controllers/BulletinController.php:696	'title' => '掲示板に新しいコメントがあります',	bulletin.bulletincontroller.l696	P2
掲示板	Controllers/BulletinController.php:697	'content' => ($actor['display_name'] ?? 'ユーザー') . ' さんが「' . $post['title'] . '」にコメントしました。' .	bulletin.bulletincontroller.l697	P2
DataTables	public/js/vendor/dataTables.japanese.json:2	"sEmptyTable": "テーブルにデータがありません",	datatables.datatables_japanese.l2	P1
DataTables	public/js/vendor/dataTables.japanese.json:3	"sInfo": "_TOTAL_ 件中 _START_ から _END_ まで表示",	datatables.datatables_japanese.l3	P1
DataTables	public/js/vendor/dataTables.japanese.json:4	"sInfoEmpty": "0 件中 0 から 0 まで表示",	datatables.datatables_japanese.l4	P1
DataTables	public/js/vendor/dataTables.japanese.json:5	"sInfoFiltered": "（全 _MAX_ 件より抽出）",	datatables.datatables_japanese.l5	P1
DataTables	public/js/vendor/dataTables.japanese.json:8	"sLengthMenu": "_MENU_ 件表示",	datatables.datatables_japanese.l8	P1
DataTables	public/js/vendor/dataTables.japanese.json:9	"sLoadingRecords": "読み込み中...",	datatables.datatables_japanese.l9	P1
DataTables	public/js/vendor/dataTables.japanese.json:10	"sProcessing": "処理中...",	datatables.datatables_japanese.l10	P1
DataTables	public/js/vendor/dataTables.japanese.json:11	"sSearch": "検索:",	datatables.datatables_japanese.l11	P1
DataTables	public/js/vendor/dataTables.japanese.json:12	"sZeroRecords": "一致するレコードがありません",	datatables.datatables_japanese.l12	P1
DataTables	public/js/vendor/dataTables.japanese.json:14	"sFirst": "先頭",	datatables.datatables_japanese.l14	P1
DataTables	public/js/vendor/dataTables.japanese.json:15	"sLast": "最終",	datatables.datatables_japanese.l15	P1
DataTables	public/js/vendor/dataTables.japanese.json:16	"sNext": "次",	datatables.datatables_japanese.l16	P1
DataTables	public/js/vendor/dataTables.japanese.json:17	"sPrevious": "前"	datatables.datatables_japanese.l17	P1
DataTables	public/js/vendor/dataTables.japanese.json:20	"sSortAscending": ": 列を昇順に並べ替えるには有効にしてください",	datatables.datatables_japanese.l20	P1
DataTables	public/js/vendor/dataTables.japanese.json:21	"sSortDescending": ": 列を降順に並べ替えるには有効にしてください"	datatables.datatables_japanese.l21	P1
ユーザー管理	Models/User.php:203	return true; // 更新するものがない	users.user.l203	P2
ユーザー管理	Models/User.php:207	$values[] = $id; // WHEREの条件用	users.user.l207	P2
ユーザー管理	Models/User.php:512	error_log("GetUsersByOrganization - 対象組織ID: " . implode(', ', $orgIds));	users.user.l512	P2
ユーザー管理	Models/User.php:527	error_log("GetUsersByOrganization - 取得ユーザー数: " . count($users));	users.user.l527	P2
ユーザー管理	Models/User.php:532	error_log("組織ID " . $organizationId . " の user_organizations テーブル: " . json_encode($check_result));	users.user.l532	P2
ユーザー管理	Models/User.php:537	error_log("ユーザーテーブルの総数: " . $users_count['count']);	users.user.l537	P2
ワークフロー	public/js/workflow-route-designer.js:37	App.showNotification('承認経路定義の読み込みに失敗しました', 'error');	workflow.workflow_route_designer.l37	P1
ワークフロー	public/js/workflow-route-designer.js:42	App.showNotification('承認経路定義の読み込みに失敗しました', 'error');	workflow.workflow_route_designer.l42	P1
ワークフロー	public/js/workflow-route-designer.js:97	container.html('<div class="text-center p-5 text-muted">新規ステップを追加してください</div>');	workflow.workflow_route_designer.l97	P1
ワークフロー	public/js/workflow-route-designer.js:173	<h5 class="mb-0">ステップ ${stepNumber}</h5>	workflow.workflow_route_designer.l173	P1
ワークフロー	public/js/workflow-route-designer.js:176	<i class="fas fa-plus"></i> 承認者追加	workflow.workflow_route_designer.l176	P1
ワークフロー	public/js/workflow-route-designer.js:202	'user': 'ユーザー',	workflow.workflow_route_designer.l202	P1
ワークフロー	public/js/workflow-route-designer.js:203	'role': '役割',	workflow.workflow_route_designer.l203	P1
ワークフロー	public/js/workflow-route-designer.js:204	'organization': '組織',	workflow.workflow_route_designer.l204	P1
ワークフロー	public/js/workflow-route-designer.js:205	'dynamic': '動的承認者'	workflow.workflow_route_designer.l205	P1
ワークフロー	public/js/workflow-route-designer.js:223	approverDetail = 'フィールド: ' + step.dynamic_approver_field_id;	workflow.workflow_route_designer.l223	P1
ワークフロー	public/js/workflow-route-designer.js:229	if (step.allow_delegation) options.push('代理承認許可');	workflow.workflow_route_designer.l229	P1
ワークフロー	public/js/workflow-route-designer.js:230	if (step.allow_self_approval) options.push('自己承認許可');	workflow.workflow_route_designer.l230	P1
ワークフロー	public/js/workflow-route-designer.js:231	if (step.parallel_approval) options.push('平行承認');	workflow.workflow_route_designer.l231	P1
ワークフロー	public/js/workflow-route-designer.js:246	<i class="fas fa-edit"></i> 編集	workflow.workflow_route_designer.l246	P1
ワークフロー	public/js/workflow-route-designer.js:249	<i class="fas fa-trash"></i> 削除	workflow.workflow_route_designer.l249	P1
ワークフロー	public/js/workflow-route-designer.js:264	return user ? user.display_name : `ユーザーID: ${userId}`;	workflow.workflow_route_designer.l264	P1
ワークフロー	public/js/workflow-route-designer.js:270	'admin': '管理者',	workflow.workflow_route_designer.l270	P1
ワークフロー	public/js/workflow-route-designer.js:271	'manager': 'マネージャー',	workflow.workflow_route_designer.l271	P1
ワークフロー	public/js/workflow-route-designer.js:272	'user': '一般ユーザー'	workflow.workflow_route_designer.l272	P1
ワークフロー	public/js/workflow-route-designer.js:274	return roles[roleId] || `役割ID: ${roleId}`;	workflow.workflow_route_designer.l274	P1
ワークフロー	public/js/workflow-route-designer.js:280	return org ? org.name : `組織ID: ${orgId}`;	workflow.workflow_route_designer.l280	P1
ワークフロー	public/js/workflow-route-designer.js:313	$('#step-edit-modal .modal-title').text('承認者追加');	workflow.workflow_route_designer.l313	P1
ワークフロー	public/js/workflow-route-designer.js:355	$('#step-edit-modal .modal-title').text('承認者編集');	workflow.workflow_route_designer.l355	P1
ワークフロー	public/js/workflow-route-designer.js:385	if (confirm('この承認者を削除してもよろしいですか？')) {	workflow.workflow_route_designer.l385	P1
ワークフロー	public/js/workflow-route-designer.js:405	App.showNotification('承認者を削除しました', 'success');	workflow.workflow_route_designer.l405	P1
ワークフロー	public/js/workflow-route-designer.js:407	App.showNotification(response.error || '承認者の削除に失敗しました', 'error');	workflow.workflow_route_designer.l407	P1
ワークフロー	public/js/workflow-route-designer.js:412	App.showNotification('承認者の削除に失敗しました', 'error');	workflow.workflow_route_designer.l412	P1
ワークフロー	public/js/workflow-route-designer.js:424	App.showNotification('承認者を削除しました', 'success');	workflow.workflow_route_designer.l424	P1
ワークフロー	public/js/workflow-route-designer.js:463	$(`.route-step-group[data-step-number="${group.newStepNumber}"] .step-group-header h5`).text(`ステップ ${group.newStepNumber}`);	workflow.workflow_route_designer.l463	P1
ワークフロー	public/js/workflow-route-designer.js:501	App.showNotification(response.message || '承認経路定義を保存しました', 'success');	workflow.workflow_route_designer.l501	P1
ワークフロー	public/js/workflow-route-designer.js:503	App.showNotification(response.error || '承認経路定義の保存に失敗しました', 'error');	workflow.workflow_route_designer.l503	P1
ワークフロー	public/js/workflow-route-designer.js:508	App.showNotification('承認経路定義の保存に失敗しました', 'error');	workflow.workflow_route_designer.l508	P1
バリデーション	public/js/workflow-route-designer.js:558	App.showNotification('承認者名は必須です', 'error');	validation.workflow_route_designer.l558	P1
バリデーション	public/js/workflow-route-designer.js:563	App.showNotification('承認者を選択してください', 'error');	validation.workflow_route_designer.l563	P1
